spotify.genre,artist.id,artist.image
country,spotify:artist:2bA6fzP0lMAQ4kz6CF61w8,https://i.scdn.co/image/f7fa421e319432a08c0f1a13cdb03d6788f4a03e
NA,spotify:artist:4L3GTE04bW5N7azA9QPhjA,https://i.scdn.co/image/227f634db41d7daae42dad71528899b3ef89ebaf
country,spotify:artist:25NQNriVT2YbSW80ILRWJa,https://i.scdn.co/image/ea866e67ccdfcd5ecd176a3db3e253e79d3ab63a
pop,spotify:artist:0IF46mUS8NXjgHabxk2MCM,https://i.scdn.co/image/977668064535a289d35377405b81673d22355411
hip hop,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,https://i.scdn.co/image/f58a98bc92cd2dc7020fc45a45eebb29380048ab
rock,spotify:artist:2RTUTCvo6onsAnheUk3aL9,https://i.scdn.co/image/b6bde9a790ba351ba6304519df301ff909a69550
country,spotify:artist:0XKOBt59crntr7HQXXO8Yz,https://i.scdn.co/image/5d50e296fdfc6cb7a5d14f2865468fa36f4b389f
country,spotify:artist:3grHWM9bx2E9vwJCdlRv9O,https://i.scdn.co/image/abe4113771170b239989f44b4ac9a83f1c5d7ddd
r&b,spotify:artist:2hWr3AjjKOCVmWcwvuT4uM,https://i.scdn.co/image/5b128023e8c83a475685b6b796c35b6db0d17e57
r&b,spotify:artist:2I1bnmb9VQEQGKHxvr0gSf,https://i.scdn.co/image/588abbff92446ec0bd740cf837a83c9494d5dfec
country,spotify:artist:2qFe0FyUMK8XXoyOsfYJr2,https://i.scdn.co/image/7a09f3a1cd2635a6f6e4f64cf2fa2b111a2c9065
rock,spotify:artist:4RddZ3iHvSpGV4dvATac9X,https://i.scdn.co/image/a68ae1bf3939e1cb7d0dcc492f4e54a6a78de1c0
